asset_id,tag,asset_class,description,enterprise,site,area,drawing_number,drawing_revision,x,y,cad_layer,symbol_source,symbol_confidence,text_confidence,semantic_confidence,association_confidence,connectivity_confidence,overall_confidence,confidence_basis,review_status,confidence_level
TAG-0001,HE-200,Heat Exchanger,,Thermax Limited,RTIC Catalyst Test Bed Facility,Liquid Feed Section,SPL/2024-25/P-47/PID/R5,04,1385.997777722908,282.6620856041223,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0002,R-300,Reactor,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-1 Section,SPL/2024-25/P-47/PID/R5,04,1885.243230088657,269.3629749677548,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0003,R-400,Reactor,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-2 Section,SPL/2024-25/P-47/PID/R5,04,2415.488800997748,269.3629749677548,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0004,HE-401,Heat Exchanger,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-2 Section,SPL/2024-25/P-47/PID/R5,04,2212.272389247696,264.9569028440545,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0005,I-13,Interlock,,Thermax Limited,RTIC Catalyst Test Bed Facility,Product Section,SPL/2024-25/P-47/PID/R5,04,2828.439944858537,262.0360069301509,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0006,M-401,Motor,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-2 Section,SPL/2024-25/P-47/PID/R5,04,2216.120223737424,255.2919638390449,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0007,I-10,Interlock,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-1 Section,SPL/2024-25/P-47/PID/R5,04,1740.502857451496,248.1462656123366,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0008,I-11,Interlock,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-2 Section,SPL/2024-25/P-47/PID/R5,04,2148.553287596942,248.1332327270523,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0009,SM-200,Static Mixer,,Thermax Limited,RTIC Catalyst Test Bed Facility,Liquid Feed Section,SPL/2024-25/P-47/PID/R5,04,1234.936206477963,242.6471561431885,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0010,LG-401,Level Gauge,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-2 Section,SPL/2024-25/P-47/PID/R5,04,2202.889913303864,214.8725183400392,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0011,I-14,Interlock,,Thermax Limited,RTIC Catalyst Test Bed Facility,Product Section,SPL/2024-25/P-47/PID/R5,04,2837.081330380623,206.0553734416119,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0012,V-500,Vessel,,Thermax Limited,RTIC Catalyst Test Bed Facility,Product Section,SPL/2024-25/P-47/PID/R5,04,2790.51551914619,199.8061893357171,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0013,FRN-200,Furnace,,Thermax Limited,RTIC Catalyst Test Bed Facility,Liquid Feed Section,SPL/2024-25/P-47/PID/R5,04,1290.997404235684,181.6464221954346,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0014,HE-700,Heat Exchanger,,Thermax Limited,RTIC Catalyst Test Bed Facility,Sample Handling System 2,SPL/2024-25/P-47/PID/R5,04,3777.12606857304,171.9085583580865,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0015,HE-600,Heat Exchanger,,Thermax Limited,RTIC Catalyst Test Bed Facility,Sample Handling System 1,SPL/2024-25/P-47/PID/R5,04,3283.601076794174,171.8238736046685,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0016,V-600,Vessel,,Thermax Limited,RTIC Catalyst Test Bed Facility,Sample Handling System 1,SPL/2024-25/P-47/PID/R5,04,3445.914908790563,145.5355436219109,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0017,HE-402,Heat Exchanger,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-2 Section,SPL/2024-25/P-47/PID/R5,04,2236.571502204835,143.2457499047205,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0018,FRN-300,Furnace,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-1 Section,SPL/2024-25/P-47/PID/R5,04,1726.568945925746,131.0572741508484,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0019,PRV-105,Pressure Regulator,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-2 Section,SPL/2024-25/P-47/PID/R5,04,2099.812831251942,120.9674692465386,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0020,HE-400,Heat Exchanger,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-2 Section,SPL/2024-25/P-47/PID/R5,04,2278.527624613212,98.12903214270445,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0021,I-12,Interlock,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-2 Section,SPL/2024-25/P-47/PID/R5,04,2155.76795677056,72.18198748143396,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0022,V-200,Vessel,,Thermax Limited,RTIC Catalyst Test Bed Facility,Liquid Feed Section,SPL/2024-25/P-47/PID/R5,04,1113.869481857738,58.01669692030795,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0023,V-501,Vessel,,Thermax Limited,RTIC Catalyst Test Bed Facility,Product Section,SPL/2024-25/P-47/PID/R5,04,2948.759664400774,54.36825438003141,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
TAG-0024,CH-400,Chiller,,Thermax Limited,RTIC Catalyst Test Bed Facility,Reactor-2 Section,SPL/2024-25/P-47/PID/R5,04,2201.749188522917,44.96125149726868,0,DXF_TEXT_TAG,0.0,1.0,0.92,0.0,0.0,0.772,Native DXF text + tag convention; symbol awaits CNN/engineer review,REVIEW_SYMBOL_AND_CONNECTIVITY,MEDIUM
BLK-0001,,cad_block,,Thermax Limited,RTIC Catalyst Test Bed Facility,Instrument and Equipment List,SPL/2024-25/P-47/PID/R5,04,4738.036118118671,199.9855895009066,0,DXF_NATIVE_BLOCK,1.0,0.0,0.75,0.0,0.0,0.35,Native DXF block; no tag association,REVIEW_TAG_AND_CONNECTIVITY,LOW
