source_id,relationship,target_id,confidence,evidence,review_status
TAG-0001,PART_OF,AREA-002,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0001,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0002,PART_OF,AREA-003,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0002,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0003,PART_OF,AREA-004,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0003,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0004,PART_OF,AREA-004,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0004,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0005,PART_OF,AREA-005,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0005,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0006,PART_OF,AREA-004,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0006,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0007,PART_OF,AREA-003,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0007,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0008,PART_OF,AREA-004,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0008,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0009,PART_OF,AREA-002,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0009,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0010,PART_OF,AREA-004,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0010,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0011,PART_OF,AREA-005,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0011,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0012,PART_OF,AREA-005,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0012,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0013,PART_OF,AREA-002,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0013,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0014,PART_OF,AREA-007,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
